age,diploma,gender,living_place,csp,close_fam,close_friends,close_neighbors,close_colleagues,knows_fam,knows_friends,knows_neighbors,knows_colleagues,find_job,weight
3,1,2,7,5,3,3,1,2,3,3,1,1,3,2.5017110722984
4,2,2,7,6,3,3,1,1,1,1,1,3,3,0.94024444277287
6,4,2,4,3,2,3,1,2,4,3,3,3,8,0.306814035062511
2,2,2,1,5,3,2,1,2,3,3,1,1,7,4.90135245771693
4,3,2,8,3,3,4,1,3,1,4,3,5,5,1.40098600752978
4,2,1,0,6,4,3,4,5,2,3,4,5,5,0.348980017822789
5,1,2,7,4,3,3,1,3,4,5,1,3,7,0.23910833060696
3,2,2,0,4,2,3,1,2,3,3,1,3,6,1.04352067273355
3,4,2,7,5,2,3,3,3,3,3,1,3,6,0.532449419805343
5,1,2,2,5,3,4,1,1,4,4,4,3,6,1.50490760942872
5,2,2,6,5,2,2,2,1,2,2,2,1,7,0.261987172983596
3,4,2,7,3,3,4,3,4,5,5,4,5,3,0.279272811058254
4,3,2,4,5,4,3,1,3,3,3,1,3,6,1.11296252321987
2,3,2,4,4,4,3,1,3,2,1,2,4,3,2.24823746922103
4,1,2,5,4,3,2,1,1,1,1,1,1,6,0.383344020261463
5,4,1,8,3,4,2,3,3,1,1,1,1,1,0.698254839796131
5,3,2,4,4,3,3,3,1,1,1,1,1,6,0.347796839989718
6,3,2,0,2,2,3,3,1,3,3,3,1,3,0.330727418544997
2,2,2,7,5,3,3,1,4,4,4,1,5,7,1.06647611953601
4,1,1,7,6,3,3,3,2,3,3,3,2,3,3.49823543226282
3,4,2,2,3,4,4,3,3,4,5,3,3,3,0.160615548086386
3,2,1,2,6,3,3,2,2,1,1,1,1,3,0.6057965264619
4,2,1,5,5,4,3,1,1,4,4,2,1,3,0.0370324947088396
2,4,2,0,4,3,3,1,3,6,5,5,5,1,1.2253749437097
5,4,2,8,3,5,4,1,4,5,3,1,4,6,0.452980343966365
5,3,2,7,4,2,3,2,1,1,7,4,1,7,1.56297586650461
4,3,2,0,5,3,3,1,1,2,3,1,1,6,0.249790853496252
3,3,2,3,6,1,3,1,2,3,3,2,2,7,0.445604488576287
3,1,1,1,6,3,3,1,3,3,3,1,3,1,1.53209651820876
2,3,1,2,4,4,3,2,1,3,4,3,3,3,1.97050182150597
3,3,1,6,6,3,2,1,1,2,1,1,1,3,1.07621464075404
5,2,2,7,5,5,3,4,3,3,3,3,3,8,1.39369415811476
2,3,2,4,5,3,3,1,3,3,3,1,3,5,4.67574004971695
4,2,1,4,6,3,3,3,3,3,2,2,2,1,1.56992191343893
6,2,1,5,3,3,4,3,4,3,4,3,4,7,2.41951927985972
6,3,1,4,3,4,3,1,1,3,3,1,1,8,0.632577179857446
3,2,1,0,2,1,3,2,1,3,3,3,4,6,0.180251962819178
5,4,1,8,4,3,3,1,3,3,4,1,4,3,0.423854594995531
1,4,2,8,3,4,2,1,2,3,3,3,3,1,0.245289867751587
4,3,2,5,4,3,3,1,1,5,5,3,3,5,0.536835123012364
5,3,1,4,3,3,3,1,1,3,3,3,1,3,0.0414255314599984
6,2,2,0,4,3,2,2,3,3,1,1,3,1,0.231573115731392
3,4,1,7,4,3,4,1,3,4,7,3,6,6,0.418117641994278
6,4,1,0,3,4,3,3,1,5,5,4,1,3,0.151008047165704
5,3,2,0,4,3,3,1,1,6,5,3,4,8,0.223594062912049
4,3,2,3,4,3,2,1,2,1,2,1,1,7,0.328336342376527
6,3,1,8,3,3,3,3,1,3,3,3,2,3,1.67367683626539
5,2,1,2,6,4,3,3,1,5,3,4,1,7,0.390147595677854
6,3,2,4,3,3,3,3,3,5,4,2,5,8,0.0303279268524734
4,3,2,7,4,3,4,2,3,4,4,3,3,6,0.851051179185718
5,4,2,8,4,4,3,3,3,3,3,2,1,6,0.740527540414008
4,2,1,8,4,3,3,1,2,5,3,3,3,3,0.825632544189158
2,3,1,4,6,4,5,1,4,4,7,1,5,5,1.49291716197346
5,1,2,0,5,3,1,1,1,3,2,1,1,7,0.420256969557627
5,3,2,0,4,4,3,3,2,6,3,4,5,7,0.71744330649081
4,3,1,4,3,3,3,3,3,1,1,1,1,6,1.09326023487929
3,3,2,7,3,3,3,1,3,4,4,2,4,5,0.545175542507554
4,4,1,7,3,3,3,1,3,3,3,1,4,5,0.95306477136799
4,1,2,0,1,4,4,3,1,1,1,1,1,1,2.32082223038121
3,2,2,7,5,3,3,1,3,5,6,1,6,7,0.245755333164729
5,2,1,3,4,4,3,4,3,3,3,3,3,1,0.558856313362526
5,3,1,7,3,4,3,1,3,4,5,4,3,6,0.436293168724746
4,4,2,7,3,3,3,3,3,1,3,3,4,5,0.435938043186234
6,2,2,4,2,5,4,3,3,4,3,1,3,8,2.04729282034831
